Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
TCGA.AR.A5QQ.01	0.0324720513359495	0.0172419551154385	0	0.00748916637357386	0	0.0842088243312518	0	0.0906228476221525	0.044517276404781	0	0.0168188027009355	0.0107986426524416	0	0.212889936139275	0.0712529495040925	0.21654107475376	0.00188222657284461	0	0.00835132980414031	0	0	0	9999	0.429115940961013	0.905069228739942	0.815087083310636
TCGA.D8.A1JA.01	0.0107074849600697	0	0.0141790666084089	0.0010002915787504	0	0.0194811536856494	0	0.0056115614011639	0	0	0.00283359611629554	0	0	0	0.0103213709379296	0.034824934721241	0	0.0355413484886001	0.00350988202068675	0	0	0.0114445512471631	9999	0.0521483387065954	1.07876139326885	0.149455241765958
TCGA.BH.A0BQ.01	0.0224664615691635	0	0.0246342429554916	0.0230958707191305	0	0.0618784826656732	0	0.0128832113189685	0.012731097108849	0	0.00515484862830124	0	0	0.058720419419671	0.021942591848804	0.0631691337122706	0	0.00431247123729408	0.0250467574239397	0	0	0	9999	0.176628676676582	1.01193421815183	0.336035588607557
TCGA.BH.A0BT.01	0.022678193167719	0	0.00595236605953525	0.0214571322721822	0	0.0327916098479152	0	0.0383048465514544	0.0139197557028901	0	0	0.00825449156134742	0.000663308810482346	0.0254202208441714	0.0207870978484785	0.0522248365125373	0.00438401681872526	0.00344021728969926	0.0199403332703947	0	0	0	9999	0.0867075760661335	1.04890984897066	0.270218426557532
TCGA.A8.A06X.01	0.00822076193500119	0	0.00672555787790928	0.0111450404794778	0	0.0141344785974454	0	0.0191329267620295	0.00976222798445228	0	0	0.00792448751568174	0	0.0665512230542646	0.0134863122157754	0.0482247077245859	0	0	0.00422001371067611	0	0	0	9999	0.227241179562213	1.01224503979908	0.209527737857299
TCGA.A8.A096.01	0.00144132772944871	0	0.00214844078887173	0.0270699422837996	0	0.0999949393859991	0	0.029974661374648	0.016262399571073	0	0.000630456275723379	0.009370918267355	0.00808186963993265	0.030368484536017	0.0317991983448278	0.119347220046374	0.010885183877534	0	0.0543632666306763	0	7.31183935814073e-05	0	9999	0.229637142731093	0.992714921684213	0.441811427145861
TCGA.BH.A0C7.01	0.0292976943830118	0	0.0105743628823502	0.00353766569405413	0	0.0493598645349301	0.000232025305520893	0.00846768139143181	0	0	0.00428076471402997	0	0	0.0256017017060582	0.0179859559810765	0.0481804051659201	0	0.0025638092149796	0.0250290074484055	0	0	0	9999	-0.00301692056230476	1.08008974127087	0.225110938421769
TCGA.AC.A5XU.01	0.00355642837835611	0	0.0173897764086768	0.010085447302844	0	0.0162428193044995	0	0.0101460606527347	0.00529152972670606	0	0.00158681030316456	0.00293547407178221	0	0.057297841189945	0.00832874974538915	0.03620410378302	0	0	0.0149149792575719	0	0	0	9999	0.352238252219609	0.943183131438532	0.18398002012469
TCGA.PE.A5DE.01	0.0527627476250586	0	0.0175147939566245	0.179375606934548	0	0.0504874868060157	5.8011016312128e-05	0.121064587176994	0.0290577749555573	0	0.00189073168668905	0.0110745436826197	0.0186512430770678	0.0654612412456632	0.110874713882044	0.0461812971425048	0.00707408791879341	0	0.0263622955223501	0	0	0	9999	0.399446973247552	0.920482451578686	0.737891162628842
TCGA.PE.A5DC.01	0.0188695127768889	0	0.00278841464666835	0.0113255159779581	0	0.0474670726176122	0	0.00743845174458949	0.00658725741445474	0	0.00532125803249183	9.7319907933591e-05	0	0.0516620567046216	0.0169419262351747	0.0276346479482486	0	0	0.0180265795984182	0	0	0	9999	0.094547033285631	1.0555737831749	0.21416001360506
TCGA.AR.A0TV.01	0.0146009320754773	0	0.00456900328089294	0.0264604002854408	0	0.0424890435456786	0.00707304491838571	0.0318584891311437	0.00678849957354702	0	0.01016469796751	0	0.00451477106206508	0.0852538093887194	0.0265957319706197	0.0587768390549807	0	0	0.00306015379143377	0	0	0	9999	0.132364812356311	1.04840942634547	0.322205416045895
